instance_path,meta_scale,meta_scenario,meta_seed,meta_n_orders,time_limit_s,ship_window,run_status,run_elapsed_s,data_dir,out_dir,run_error,status,objective,horizon_days,num_units,num_operations
small/tight_storage/I004,small,tight_storage,1043,10,300,2,ok,41.508453,/home/fran/Descargas/sarteco-planner-main/data/benchmark/sarteco_synth_v1/small/tight_storage/I004,/home/fran/Descargas/sarteco-planner-main/results/sarteco_synth_v1/small/tight_storage/I004,,OPTIMAL,157.0,59,30,120
small/tight_storage/I005,small,tight_storage,1044,10,300,2,ok,4.281447,/home/fran/Descargas/sarteco-planner-main/data/benchmark/sarteco_synth_v1/small/tight_storage/I005,/home/fran/Descargas/sarteco-planner-main/results/sarteco_synth_v1/small/tight_storage/I005,,OPTIMAL,102.0,56,20,80
small/tight_storage/I006,small,tight_storage,1045,10,300,2,ok,7.820388,/home/fran/Descargas/sarteco-planner-main/data/benchmark/sarteco_synth_v1/small/tight_storage/I006,/home/fran/Descargas/sarteco-planner-main/results/sarteco_synth_v1/small/tight_storage/I006,,OPTIMAL,139.0,60,27,108
small/tight_storage/I007,small,tight_storage,1046,10,300,2,ok,9.116145,/home/fran/Descargas/sarteco-planner-main/data/benchmark/sarteco_synth_v1/small/tight_storage/I007,/home/fran/Descargas/sarteco-planner-main/results/sarteco_synth_v1/small/tight_storage/I007,,OPTIMAL,148.0,56,29,116
small/tight_storage/I008,small,tight_storage,1047,10,300,2,ok,6.403912,/home/fran/Descargas/sarteco-planner-main/data/benchmark/sarteco_synth_v1/small/tight_storage/I008,/home/fran/Descargas/sarteco-planner-main/results/sarteco_synth_v1/small/tight_storage/I008,,OPTIMAL,121.0,60,24,96
small/tight_storage/I009,small,tight_storage,1048,10,300,2,ok,5.890234,/home/fran/Descargas/sarteco-planner-main/data/benchmark/sarteco_synth_v1/small/tight_storage/I009,/home/fran/Descargas/sarteco-planner-main/results/sarteco_synth_v1/small/tight_storage/I009,,OPTIMAL,113.0,60,22,88
small/tight_storage/I010,small,tight_storage,1049,10,300,2,ok,6.894487,/home/fran/Descargas/sarteco-planner-main/data/benchmark/sarteco_synth_v1/small/tight_storage/I010,/home/fran/Descargas/sarteco-planner-main/results/sarteco_synth_v1/small/tight_storage/I010,,OPTIMAL,112.0,59,22,88
small/tight_storage/I011,small,tight_storage,1050,10,300,2,ok,8.009082,/home/fran/Descargas/sarteco-planner-main/data/benchmark/sarteco_synth_v1/small/tight_storage/I011,/home/fran/Descargas/sarteco-planner-main/results/sarteco_synth_v1/small/tight_storage/I011,,OPTIMAL,134.0,60,26,104
small/tight_storage/I012,small,tight_storage,1051,10,300,2,ok,5.140742,/home/fran/Descargas/sarteco-planner-main/data/benchmark/sarteco_synth_v1/small/tight_storage/I012,/home/fran/Descargas/sarteco-planner-main/results/sarteco_synth_v1/small/tight_storage/I012,,OPTIMAL,113.0,58,22,88
small/tight_storage/I013,small,tight_storage,1052,10,300,2,ok,9.064257,/home/fran/Descargas/sarteco-planner-main/data/benchmark/sarteco_synth_v1/small/tight_storage/I013,/home/fran/Descargas/sarteco-planner-main/results/sarteco_synth_v1/small/tight_storage/I013,,INFEASIBLE,,60,25,100
small/tight_storage/I014,small,tight_storage,1053,10,300,2,ok,4.430391,/home/fran/Descargas/sarteco-planner-main/data/benchmark/sarteco_synth_v1/small/tight_storage/I014,/home/fran/Descargas/sarteco-planner-main/results/sarteco_synth_v1/small/tight_storage/I014,,OPTIMAL,91.0,60,18,72
small/tight_storage/I015,small,tight_storage,1054,10,300,2,ok,7.719103,/home/fran/Descargas/sarteco-planner-main/data/benchmark/sarteco_synth_v1/small/tight_storage/I015,/home/fran/Descargas/sarteco-planner-main/results/sarteco_synth_v1/small/tight_storage/I015,,OPTIMAL,139.0,57,26,104
small/tight_storage/I016,small,tight_storage,1055,10,300,2,ok,115.257564,/home/fran/Descargas/sarteco-planner-main/data/benchmark/sarteco_synth_v1/small/tight_storage/I016,/home/fran/Descargas/sarteco-planner-main/results/sarteco_synth_v1/small/tight_storage/I016,,INFEASIBLE,,58,25,100
small/tight_storage/I017,small,tight_storage,1056,10,300,2,ok,27.621694,/home/fran/Descargas/sarteco-planner-main/data/benchmark/sarteco_synth_v1/small/tight_storage/I017,/home/fran/Descargas/sarteco-planner-main/results/sarteco_synth_v1/small/tight_storage/I017,,INFEASIBLE,,59,34,136
small/tight_storage/I018,small,tight_storage,1057,10,300,2,ok,7.350046,/home/fran/Descargas/sarteco-planner-main/data/benchmark/sarteco_synth_v1/small/tight_storage/I018,/home/fran/Descargas/sarteco-planner-main/results/sarteco_synth_v1/small/tight_storage/I018,,OPTIMAL,134.0,59,26,104
small/tight_storage/I019,small,tight_storage,1058,10,300,2,ok,8.014548,/home/fran/Descargas/sarteco-planner-main/data/benchmark/sarteco_synth_v1/small/tight_storage/I019,/home/fran/Descargas/sarteco-planner-main/results/sarteco_synth_v1/small/tight_storage/I019,,OPTIMAL,141.0,58,27,108
small/tight_storage/I020,small,tight_storage,1059,10,300,2,ok,5.61923,/home/fran/Descargas/sarteco-planner-main/data/benchmark/sarteco_synth_v1/small/tight_storage/I020,/home/fran/Descargas/sarteco-planner-main/results/sarteco_synth_v1/small/tight_storage/I020,,OPTIMAL,120.0,57,23,92
