instance_path,meta_scale,meta_scenario,meta_seed,meta_n_orders,time_limit_s,ship_window,storage,staff_factor,run_status,run_error,run_elapsed_s,status,objective,horizon_days,num_units,num_operations
medium/baseline/I005,medium,baseline,1064,20,300,0,50,1.2,ok,,5.011518,INFEASIBLE,,58,60,240
medium/baseline/I005,medium,baseline,1064,20,300,2,5,0.8,ok,,5.129157,INFEASIBLE,,58,60,240
medium/baseline/I005,medium,baseline,1064,20,300,2,5,1.0,ok,,5.119378,INFEASIBLE,,58,60,240
medium/baseline/I005,medium,baseline,1064,20,300,2,5,1.2,ok,,5.093127,INFEASIBLE,,58,60,240
medium/baseline/I005,medium,baseline,1064,20,300,2,10,0.8,ok,,5.152349,INFEASIBLE,,58,60,240
medium/baseline/I005,medium,baseline,1064,20,300,2,10,1.0,ok,,5.091282,INFEASIBLE,,58,60,240
medium/baseline/I005,medium,baseline,1064,20,300,2,10,1.2,ok,,5.135029,INFEASIBLE,,58,60,240
medium/baseline/I005,medium,baseline,1064,20,300,2,20,0.8,ok,,5.099597,INFEASIBLE,,58,60,240
medium/baseline/I005,medium,baseline,1064,20,300,2,20,1.0,ok,,5.102056,INFEASIBLE,,58,60,240
medium/baseline/I005,medium,baseline,1064,20,300,2,20,1.2,ok,,5.149266,INFEASIBLE,,58,60,240
medium/baseline/I005,medium,baseline,1064,20,300,2,50,0.8,ok,,5.075617,INFEASIBLE,,58,60,240
medium/baseline/I005,medium,baseline,1064,20,300,2,50,1.0,ok,,5.140752,INFEASIBLE,,58,60,240
medium/baseline/I005,medium,baseline,1064,20,300,2,50,1.2,ok,,5.088373,INFEASIBLE,,58,60,240
medium/baseline/I005,medium,baseline,1064,20,300,5,5,0.8,ok,,5.111015,INFEASIBLE,,58,60,240
medium/baseline/I005,medium,baseline,1064,20,300,5,5,1.0,ok,,5.157169,INFEASIBLE,,58,60,240
medium/baseline/I005,medium,baseline,1064,20,300,5,5,1.2,ok,,5.10307,INFEASIBLE,,58,60,240
medium/baseline/I005,medium,baseline,1064,20,300,5,10,0.8,ok,,5.124891,INFEASIBLE,,58,60,240
